up主名字,主要知识领域,总权重,提及次数,回答提及数,评论提及数,正向/推荐,负向/避雷,中性/提及,代表点评,来源URL样例
YuikuLa,综合知识/泛科普,51104,1,1,0,1,0,0,感谢知友 @YuikuLa 的推荐~,https://www.zhihu.com/question/291506148/answer/884690034
夏知非Song,综合知识/泛科普,51104,1,1,0,0,1,0,5.夏知非Song 夏知非Song 这是一位教围棋的up~ 最近对围棋感兴趣，在B站找了好多教学都不太如意，这个up就超合我心意！ 声音巨好听~巨~~好听！ 教学内容循序渐进，每节课都会有实战演示环节，会分别按正确方式和错误方式演示一遍。,https://www.zhihu.com/question/291506148/answer/884690034
柒子白qwq,综合知识/泛科普,51104,1,1,0,1,0,0,感谢知友 @柒子白qwq 的安利~,https://www.zhihu.com/question/291506148/answer/884690034
楚格山里人滑雪,综合知识/泛科普,51104,1,1,0,0,0,1,6.楚格山里人滑雪 楚格山里人滑雪 这是一位教滑雪的up~单双板教学都有哦~~ 教程都是一步一步慢慢来的，up特别有耐心，复杂点的地方会仔仔细细、掰碎了揉开了讲几遍。 不过up有些点讲的没有特别到位。 之前我也在知乎找过滑雪教程，找到一个文字版的教程。那份就特别详细，做动作时的要点讲解的很清楚，比如后刃推坡的时候如果有速度就要注意前刃不要放下去，很容易摔倒，但是没配视频就没那么直观。,https://www.zhihu.com/question/291506148/answer/884690034
看之前我还以为是,综合知识/泛科普,51104,1,1,0,0,0,1,看之前我还以为是：给门禁卡换上滴胶外壳的美化改造向视频呢，对不起，是我格局小了…… 大家感兴趣的话也可以看看我在其它问题下的回答哟~~ 哪些网站帮你打开了新世界的大门？ 有哪些「童言无忌」让你啼笑皆非？ 有哪些小技能是可以通过闲暇时间学到的？ 有哪些 APP 的小细节会让你觉得很有意思？,https://www.zhihu.com/question/291506148/answer/884690034
秋山黛西,综合知识/泛科普,51104,1,1,0,1,0,0,9.秋山黛西 秋山黛西 感谢知友 @Akiyama 的推荐~ 这位up应该是一位户外生存爱好者，视频内容是BC科普（大概就是户外生存技能……吧）的，还有相关的工具介绍。 讲工具的时候，up会按斧、刀、锯等分类介绍；还有教做木勺、斧脖套的教程。画质也很棒，感兴趣的小伙伴可以去看看~,https://www.zhihu.com/question/291506148/answer/884690034
FanfaniShare,数学/物理,49735,4,4,0,2,1,1,07. FanfaniShare 一个偏重教大家英语口语的UP主。 她在美国高校教英文， TESOL 硕士全 A 毕业，超级优秀。 在国内教过雅思口语和新概念课程，水平与母语相当。看她的视频可以练习纯正的英式口语、雅思写作、单词记忆等。,https://www.zhihu.com/question/65864525/answer/1253409860
老番茄,综合知识/泛科普,48304,4,4,0,3,0,1,8、老番茄 复旦之花，B站686万粉丝的大up主，故事王的冠军，人帅身材好，还有女朋友，多才多艺。。。。。。唯一就是作为游戏区up主，打游戏有点菜。 9、刘老师说电影 大家好，我就是知识嗷嗷丰富，嗓音贼拉炫酷，光一个背影往那一矗，就能吸引粉丝无数的刘老师。,https://www.zhihu.com/question/291506148/answer/865870707
万兴喵影2022,计算机/编程,47340,1,1,0,0,1,0,万兴喵影2022-电脑视频剪辑软件/pc端(支持Windows&Mac) 三，神仙阿婆主 初学者可以参考学习这些大大们，其实最快入门的就是模仿+自我重塑。 （注意：我不是叫大家去抄袭啊！！！） （1）青厌君,https://www.zhihu.com/question/22457234/answer/776523609
Thomas Frank Thomas,科普/自然科学,47049,1,1,0,0,0,1,11、Thomas Frank Thomas Frank是效率达人，日常分享关于时间管理、学习方法方面的经验。遗憾的是，B站没有完整的搬运。 YouTube链接： https://www. youtube.com/channel/UCG -KntY7aVnIGXYEBQvmBAQ,https://www.zhihu.com/question/20396961/answer/683102014
相信大家也有这样的体会,语言/英语,47049,1,1,0,1,0,0,相信大家也有这样的体会： B站好东西不少，就是比较乱，不好找 。 今天想给大家分享一些高质量英语学习资源。 我将从 听力、词汇、音标、语法、口语、有趣的英语频道 六个方面分别推荐。 01 听力 1、美国外教Shane口语听力课,https://www.zhihu.com/question/20396961/answer/683102014
小码王在线少儿编程,综合知识/泛科普,46964,1,1,0,0,0,1,2. 关注我@小码王在线少儿编程 ，让我们成为长期关系,https://www.zhihu.com/question/292372507/answer/779852972
